Problem,Solution,Answer
할로윈 유나와 그녀의 여동생은 그들이 받은 사탕을 합쳤다. 유나는 그녀의 여동생이 42개를 가진 동안 32개의 사탕을 먹었다. 만약 그들이 첫날 밤에 35조각을 먹었다면 그들은 몇 조각 남았나요?,32 42 [OP_ADD] 35 [OP_SUB],
애완동물 가게에는 샴고양이 13마리 집고양이 5마리가 있었다. 세일 기간 동안 그들은 고양이 10마리를 팔았다. 그들은 얼마나 많은 고양이를 가지고 있나요?,13 5 [OP_ADD] 10 [OP_SUB],
윤기는 그의 게임 컬렉션을 확장하려고 했다. 그는 친구로부터 게임을 2개 샀고 차고세일에서 2개를 더 샀다. 만약 2개의 게임이 효과가 없다면 그는 얼마나 많은 좋은 게임을 하게 되었을까?,2 2 [OP_ADD] 2 [OP_SUB],
학교 급식소는 학생들에게 점심으로 42개의 빨간 사과와 7개의 녹색 사과를 주문했다. 하지만 만약 9명의 학생들만 과일을 원했다면 그 카페테리아는 몇 명의 추가가 있었을까요?,42 7 [OP_ADD] 9 [OP_SUB],
은지는 꽃다발을 만들기 위해 36개의 튤립과 37개의 장미를 골랐습니다. 만약 그녀가 70개의 꽃만 사용했다면 은지는 얼마나 많은 꽃을 추가로 골랐을까요?,36 37 [OP_ADD] 70 [OP_SUB],
유정과 그녀의 엄마는 그들의 정원에서 당근을 따고 있었다. 유정은 29명을 뽑았고 그녀의 어머니는 16명을 뽑았다. 만약 38개의 당근만 좋다면 그들은 얼마나 많은 나쁜 당근을 가지고 있었을까?,29 16 [OP_ADD] 38 [OP_SUB],
윤기는 16달러를 가지고 있었다. 그의 생일에 그는 28달러를 더 받았지만 새로운 게임에 25달러를 썼다. 그는 지금 얼마나 많은 돈을 가지고 있나요?,16 28 [OP_ADD] 25 [OP_SUB],
휴가 동안 호석은 동물원에서 15장의 사진을 박물관에서 18장의 사진을 찍었습니다. 만약 그녀가 나중에 31장의 사진을 삭제했다면 그녀는 휴가에서 얼마나 많은 사진을 가지고 있었는가?,15 18 [OP_ADD] 31 [OP_SUB],
호석은 컬러링북 두 권을 샀다. 하나는 23장의 사진을 가지고 있었고 다른 하나는 32장의 사진을 가지고 있었다. 일주일 후에 그녀는 이미 44장의 그림을 색칠했다. 그녀는 아직도 몇 장의 그림을 색칠해야 합니까?,23 32 [OP_ADD] 44 [OP_SUB],
윤기는 학교에 가기 전에 9개의 짧은 소매 셔츠와 21개의 긴 소매 셔츠를 빨아야만 했다. 만약 그가 학교가 시작할 때까지 29개만 씻었다면 그는 몇 개를 씻지 않았을까요?,9 21 [OP_ADD] 29 [OP_SUB],
