Problem,Solution,Answer
길이가 1미터(m) 50센티미터(㎝)인 철사를 석기와 예슬이가 나누어 가지려고 합니다. 석기가 예슬이보다 16센티미터(㎝) 더 짧게 가지려면 석기는 몇 센티미터(㎝)를 가지면 됩니까?,1 100 [OP_MUL] 50 [OP_ADD] 16 [OP_SUB] 2 [OP_DIV],67
어느 왕수학 학원에서 킬로미터(㎞)A 수학학력평가에 120명이 응시하였습니다. 이 중 상장을 받은 학생이 상장을 받지 못한 학생보다 36명이 더 많았다면 상장을 받은 학생은 몇 명입니까?,120 36 [OP_SUB] 2 [OP_DIV] 36 [OP_ADD],78
"아버지에게 형과 동생이 각각 용돈을 받았습니다. 두 사람이 받은 용돈의 합은 12000원이고, 형이 동생보다 1000원 더 많이 받았다면, 형이 받은 용돈은 얼마입니까?",12000 1000 [OP_SUB] 2 [OP_DIV] 1000 [OP_ADD],6500
어느 마라톤 대회에 참가한 사람 수는 1250명입니다. 출발하여 뛰는 도중 포기한 사람이 완주한 사람보다 124명 더 많았다면 완주한 사람은 몇 명입니까?,1250 124 [OP_SUB] 2 [OP_DIV],563
"어느 초등학교의 학생 수는 1256명입니다. 이 중에서 수학을 좋아하는 학생과 기타 과목을 좋아하는 학생 수의 차는 408명입니다. 수학을 좋아하는 학생은 몇 명입니까? (단, 수학을 좋아하는 학생은 500명보다 작습니다.)",1256 408 [OP_SUB] 2 [OP_DIV],424
어느 학교의 3학년 학생 수는 모두 128명입니다. 남학생이 여학생보다 12명 더 많다면 남학생은 몇 명입니까?,128 12 [OP_SUB] 2 [OP_DIV] 12 [OP_ADD],70
어머니께서 주신 용돈 15000원을 규형이와 한별이가 나누어 가졌습니다. 규형이가 한별이보다 2400원 덜 가졌다면 규형이는 얼마를 가졌습니까?,15000 2400 [OP_SUB] 2 [OP_DIV],6300
"상, 하 두 권이 한 세트로 된 책이 있습니다. 이 책을 3세트 사고 21000원을 냈습니다. 상권 한 권의 값이 하권 한 권의 값보다 300원 더 비싸다면 하권 한 권의 값은 얼마입니까?",21000 3 [OP_DIV] 300 [OP_SUB] 2 [OP_DIV],3350
사과 몇 개와 사과의 3/5만큼 배를 샀더니 모두 240개가 되었습니다. 사과는 몇 개 샀습니까?,240 1 3/5 [OP_ADD] [OP_DIV],150
노란 구슬과 파란 구슬이 모두 240개 있습니다. 파란 구슬이 노란 구슬보다 2개 적다면 노란 구슬은 몇 개입니까?,240 2 [OP_SUB] 2 [OP_DIV] 2 [OP_ADD],121
